SuiRate,Unemp,Vet,Arrest,Mental,Disable,uxa,uxm,uxd,uxv,vxa,vxm,vxd,axm,axd,mxd,UnempOG,Unemp2,Unemp3,Unemp4,Unemp5,Unemp6,Unemp7,Unemp8,Unemp9,Unemp10,Unemp11,Unemp12,Unemp13,Unemp15
12.9,0.451753951,9.9,3667,3.75,12.2,1656.58174,1.694077318,5.511398208,4.472364119,36303.3,37.125,120.78,13751.25,44737.4,45.75,4.9,0.69019608,24.01,2.213594362,0.204081633,1.589235205,117.649,1.698499252,0.041649313,-2.292781749,0.436151413,0.190228055,0.660417605,-0.34509804
12.5,0.471404521,9.5,3528.97,4.23,12.3,1663.572412,1.994041123,5.798275606,4.478342948,33525.215,40.185,116.85,14927.5431,43406.331,52.029,4.5,0.653212514,20.25,2.121320344,0.222222222,1.504077397,91.125,1.650963624,0.049382716,-2.169925001,0.460845421,0.212378502,0.678855965,-0.326606257
11.6,0.471404521,9.1,3280,5.65,11.4,1546.206828,2.663435542,5.374011537,4.289781139,29848,51.415,103.74,18532,37392,64.41,4.5,0.653212514,20.25,2.121320344,0.222222222,1.504077397,91.125,1.650963624,0.049382716,-2.169925001,0.460845421,0.212378502,0.678855965,-0.326606257
5.9,0.333333333,6.2,1077,4.43,11.4,359,1.476666667,3.8,2.066666667,6677.4,27.466,70.68,4771.11,12277.8,50.502,9,0.954242509,81,3,0.111111111,2.197224577,729,2.080083823,0.012345679,-3.169925001,0.315464877,0.099518088,0.5616626,-0.477121255
5.9,0.34299717,6,946,3.86,10.8,324.4753231,1.323969077,3.704369439,2.057983022,5676,23.16,64.8,3651.56,10216.8,41.688,8.5,0.929418926,72.25,2.915475947,0.117647059,2.140066163,614.125,2.040827551,0.01384083,-3.087462841,0.323890538,0.10490508,0.569113818,-0.464709463
5.1,0.380693494,5.4,1069,3.63,11.5,406.9613449,1.381917383,4.377975179,2.055744867,5772.6,19.602,62.1,3880.47,12293.5,41.745,6.9,0.838849091,47.61,2.626785107,0.144927536,1.931521412,328.509,1.903778262,0.021003991,-2.786596362,0.358860728,0.128781022,0.599049855,-0.419424545
5.9,0.404888165,5.1,1495.98,3.92,11.3,605.7045972,1.587161607,4.575236266,2.064929642,7629.498,19.992,57.63,5864.2416,16904.574,44.296,6.1,0.785329835,37.21,2.469817807,0.163934426,1.808288771,226.981,1.827160137,0.026874496,-2.608809243,0.383316643,0.146931648,0.619125708,-0.392664918
6.8,0.404888165,5,2585,4.82,13.4,1046.635907,1.951560956,5.425501412,2.024440825,12925,24.1,67,12459.7,34639,64.588,6.1,0.785329835,37.21,2.469817807,0.163934426,1.808288771,226.981,1.827160137,0.026874496,-2.608809243,0.383316643,0.146931648,0.619125708,-0.392664918
15.1,0.3086067,11.2,5001,3.75,12.9,1543.342106,1.157275125,3.981026429,3.456395039,56011.2,42,144.48,18753.75,64512.9,48.375,10.5,1.021189299,110.25,3.240370349,0.095238095,2.351375257,1157.625,2.18975957,0.009070295,-3.392317423,0.294783735,0.08689745,0.5429399,-0.51059465
14.9,0.372677996,10.4,4640,3.96,13.4,1729.225903,1.475804865,4.99388515,3.875851161,48256,41.184,139.36,18374.4,62176,53.064,7.2,0.857332496,51.84,2.683281573,0.138888889,1.974081026,373.248,1.930978769,0.019290123,-2.847996907,0.351123977,0.123288047,0.592557151,-0.428666248
