SuiRate,Unemp,Vet,Arrest,Mental,Disable,Uninsured,Poverty,uxa,uxm,uxd,uxv,uxu,vxa,vxm,vxd,vxu,axm,axd,axu,mxd,mxu,dxu,UnempOG,Unemp2,Unemp3,Unemp4,Unemp5,Unemp6,Unemp7,Unemp8,Unemp9,Unemp10,Unemp11,Unemp12,Unemp13,Unemp14
11.6,0.386333705,8.8,4000.66,3.76,11.6,22.5,18.5,1545.589799,1.452614729,4.481470974,3.399736601,8.692508354,35205.808,33.088,102.08,198,15042.4816,46407.656,90014.85,43.616,84.6,261,6.7,0.826074803,44.89,2.588435821,0.149253731,1.902107526,300.763,1.885203631,0.022276676,-2.744161096,0.364410093,0.132794716,0.603663891,-0.413037401
11.5,0.398409536,8.5,3645,4.05,11.7,22.1,17.9,1452.20276,1.613558623,4.661391576,3.38648106,8.804850755,30982.5,34.425,99.45,187.85,14762.25,42646.5,80554.5,47.385,89.505,258.57,6.3,0.799340549,39.69,2.50998008,0.158730159,1.840549633,250.047,1.84691475,0.025195263,-2.655351829,0.376597929,0.141826,0.613675753,-0.399670275
12,0.442807443,8.2,3189,3.78,11.7,19.1,17.5,1412.112935,1.673812134,5.18084708,3.631021031,8.457622157,26149.8,30.996,95.94,156.62,12054.42,37311.3,60909.9,44.226,72.198,223.47,5.1,0.707570176,26.01,2.258317958,0.196078431,1.62924054,132.651,1.721300621,0.038446751,-2.350497247,0.425441894,0.181000805,0.652259069,-0.353785088
12.4,0.476731295,7.9,2994,3.34,11.6,17.1,15.9,1427.333496,1.592282524,5.530083018,3.766177228,8.152105138,23652.6,26.386,91.64,135.09,9999.96,34730.4,51197.4,38.744,57.114,198.36,4.4,0.643452676,19.36,2.097617696,0.227272727,1.481604541,85.184,1.638642541,0.051652893,-2.137503524,0.467835486,0.218870042,0.683985004,-0.321726338
12.5,0.466252404,7.7,3030.66,3.26,11.8,16.6,15.6,1413.052511,1.519982837,5.501778369,3.590143512,7.739789908,23336.082,25.102,90.86,127.82,9879.9516,35761.788,50308.956,38.468,54.116,195.88,4.6,0.662757832,21.16,2.144761059,0.217391304,1.526056303,97.336,1.663103499,0.047258979,-2.201633861,0.45420813,0.206305026,0.67394965,-0.331378916
13.3,0.482242822,7.4,2870,3.86,11.4,17.3,11.6,1384.0369,1.861457294,5.497568173,3.568596884,8.342800824,21238,28.564,84.36,128.02,11078.2,32718,49651,44.004,66.778,197.22,4.3,0.633468456,18.49,2.073644135,0.23255814,1.458615023,79.507,1.626133332,0.054083288,-2.10433666,0.475209133,0.22582372,0.689354142,-0.316734228
17.7,0.386333705,8,3847,5.14,8.8,15.3,13.2,1486.225762,1.985755242,3.399736601,3.090669637,5.910905681,30776,41.12,70.4,122.4,19773.58,33853.6,58859.1,45.232,78.642,134.64,6.7,0.826074803,44.89,2.588435821,0.149253731,1.902107526,300.763,1.885203631,0.022276676,-2.744161096,0.364410093,0.132794716,0.603663891,-0.413037401
19.2,0.430331483,7.7,4193.87,6.18,9.2,14.5,13.5,1804.754296,2.659448564,3.959049643,3.313552418,6.239806502,32292.799,47.586,70.84,111.65,25918.1166,38583.604,60811.115,56.856,89.61,133.4,5.4,0.73239376,29.16,2.323790008,0.185185185,1.686398954,157.464,1.754410643,0.034293553,-2.432959407,0.411022065,0.168939138,0.641110026,-0.36619688
20,0.466252404,7.5,4722,5.44,9.5,14,12.8,2201.643852,2.536413078,4.429397839,3.496893031,6.527533658,35415,40.8,71.25,105,25687.68,44859,66108,51.68,76.16,133,4.6,0.662757832,21.16,2.144761059,0.217391304,1.526056303,97.336,1.663103499,0.047258979,-2.201633861,0.45420813,0.206305026,0.67394965,-0.331378916
19,0.512989176,7.2,4142,4.85,9.6,12.5,12.7,2124.801167,2.487997504,4.92469609,3.693522068,6.412364701,29822.4,34.92,69.12,90,20088.7,39763.2,51775,46.56,60.625,120,3.8,0.579783597,14.44,1.949358869,0.263157895,1.335001067,54.872,1.560490751,0.069252078,-1.925999419,0.519210956,0.269580017,0.720562944,-0.289891798
21,0.527046277,6.7,4076,4.55,9.9,10.5,11.3,2148.240624,2.398060559,5.217758139,3.531210054,5.533985905,27309.2,30.485,66.33,70.35,18545.8,40352.4,42798,45.045,47.775,103.95,3.6,0.556302501,12.96,1.897366596,0.277777778,1.280933845,46.656,1.532618865,0.077160494,-1.847996907,0.541126447,0.292817832,0.735612974,-0.27815125
20.3,0.542326145,6.4,3676.53,5.2,9.9,8.8,10.2,1993.87834,2.820095952,5.369028831,3.470887325,4.772470072,23529.792,33.28,63.36,56.32,19117.956,36397.647,32353.464,51.48,45.76,87.12,3.4,0.531478917,11.56,1.843908891,0.294117647,1.223775432,39.304,1.503694596,0.08650519,-1.765534746,0.566400634,0.320809678,0.75259593,-0.265739459
21.4,0.550481883,6,3958,6.37,9.6,9.2,7,2178.807291,3.506569592,5.284626073,3.302891295,5.06443332,23748,38.22,57.6,55.2,25212.46,37996.8,36413.6,61.152,58.604,88.32,3.3,0.51851394,10.89,1.816590212,0.303030303,1.193922468,35.937,1.488805553,0.091827365,-1.722466024,0.580562975,0.337053368,0.761946832,-0.25925697
19.2,0.422577127,10.5,2391,4.74,12.9,6.6,12.7,1010.381912,2.003015584,5.451244943,4.437059837,2.789009041,25105.5,49.77,135.45,69.3,11333.34,30843.9,15780.6,61.146,31.284,85.14,5.6,0.748188027,31.36,2.366431913,0.178571429,1.722766598,175.616,1.775808003,0.031887755,-2.485426827,0.40234538,0.161881804,0.634307007,-0.374094014
13.9,0.447213595,10.2,2342.88,5.41,13.4,6.5,11.5,1047.767789,2.419425552,5.99266218,4.561578674,2.906888371,23897.376,55.182,136.68,66.3,12674.9808,31394.592,15228.72,72.494,35.165,87.1,5,0.698970004,25,2.236067977,0.2,1.609437912,125,1.709975947,0.04,-2.321928095,0.430676558,0.185482298,0.65625952,-0.349485002
17.7,0.476731295,9.7,2323,5.48,13.8,7.2,11.8,1107.446797,2.612487495,6.578891866,4.624293558,3.432465321,22533.1,53.156,133.86,69.84,12730.04,32057.4,16725.6,75.624,39.456,99.36,4.4,0.643452676,19.36,2.097617696,0.227272727,1.481604541,85.184,1.638642541,0.051652893,-2.137503524,0.467835486,0.218870042,0.683985004,-0.321726338
19.8,0.5,9.3,2044,5.5,14.8,5,12.3,1022,2.75,7.4,4.65,2.5,19009.2,51.15,137.64,46.5,11242,30251.2,10220,81.4,27.5,74,4,0.602059991,16,2,0.25,1.386294361,64,1.587401052,0.0625,-2,0.5,0.25,0.707106781,-0.301029996
16.5,0.527046277,8.9,1916,4.88,14.8,3.8,10.2,1009.820666,2.57198583,7.800284895,4.690711863,2.002775851,17052.4,43.432,131.72,33.82,9350.08,28356.8,7280.8,72.224,18.544,56.24,3.6,0.556302501,12.96,1.897366596,0.277777778,1.280933845,46.656,1.532618865,0.077160494,-1.847996907,0.541126447,0.292817832,0.735612974,-0.27815125
18.7,0.559016994,8.4,2314.58,5.32,14.6,3.7,11.9,1293.889555,2.97397041,8.161648118,4.695742753,2.068362879,19442.472,44.688,122.64,31.08,12313.5656,33792.868,8563.946,77.672,19.684,54.02,3.2,0.505149978,10.24,1.788854382,0.3125,1.16315081,32.768,1.473612599,0.09765625,-1.678071905,0.59592202,0.355123054,0.771959857,-0.252574989
18,0.577350269,8,2327,5.45,14.4,4.6,7.9,1343.494076,3.146558967,8.313843876,4.618802154,2.655811238,18616,43.6,115.2,36.8,12682.15,33508.8,10704.2,78.48,25.07,66.24,3,0.477121255,9,1.732050808,0.333333333,1.098612289,27,1.44224957,0.111111111,-1.584962501,0.630929754,0.398072354,0.794310867,-0.238560627
13,0.401609664,12.5,4347,3.87,11,12.5,11.1,1745.797211,1.554229401,4.417706309,5.020120806,5.020120806,54337.5,48.375,137.5,156.25,16822.89,47817,54337.5,42.57,48.375,137.5,6.2,0.792391689,38.44,2.48997992,0.161290323,1.824549292,238.328,1.83709055,0.026014568,-2.632268215,0.379900496,0.144324387,0.616360686,-0.396195845
13,0.404888165,12.1,4149.24,4.01,10.8,12.5,11.5,1679.97817,1.623601542,4.372792183,4.899146798,5.061102064,50205.804,48.521,130.68,151.25,16638.4524,44811.792,51865.5,43.308,50.125,135,6.1,0.785329835,37.21,2.469817807,0.163934426,1.808288771,226.981,1.827160137,0.026874496,-2.608809243,0.383316643,0.146931648,0.619125708,-0.392664918
12.9,0.418853908,11.9,3891,3.9,11.3,12.3,11.7,1629.760557,1.633530242,4.733049164,4.984361509,5.151903072,46302.9,46.41,134.47,146.37,15174.9,43968.3,47859.3,44.07,47.97,138.99,5.7,0.755874856,32.49,2.387467277,0.175438596,1.740466175,185.193,1.786315988,0.030778701,-2.510961919,0.39825375,0.158606049,0.63107349,-0.377937428
